Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Nedbør (mnd)
Bergen - Florida;SN50540;02.1990;5,5;322,1
Bergen - Florida;SN50540;03.1990;5,3;431,6
Bergen - Florida;SN50540;04.1990;6,5;295,4
Bergen - Florida;SN50540;05.1990;11,5;36,5
Bergen - Florida;SN50540;06.1990;14,4;109,3
Bergen - Florida;SN50540;07.1990;14,8;134,7
Bergen - Florida;SN50540;08.1990;14,8;200,9
Bergen - Florida;SN50540;09.1990;10,7;310
Bergen - Florida;SN50540;10.1990;9,3;259,2
Bergen - Florida;SN50540;11.1990;5,3;160,1
Bergen - Florida;SN50540;12.1990;3,9;365
Bergen - Florida;SN50540;01.1991;3,3;209,9
Bergen - Florida;SN50540;02.1991;0,4;95,6
Bergen - Florida;SN50540;03.1991;5,5;207,9
Bergen - Florida;SN50540;04.1991;7;148,1
Bergen - Florida;SN50540;05.1991;9;84
Bergen - Florida;SN50540;06.1991;10,9;144,6
Bergen - Florida;SN50540;07.1991;17,1;95,2
Bergen - Florida;SN50540;08.1991;15,4;244
Bergen - Florida;SN50540;09.1991;11,2;331,3
Bergen - Florida;SN50540;10.1991;8;139,1
Bergen - Florida;SN50540;11.1991;5,5;373,2
Bergen - Florida;SN50540;12.1991;4,6;355,6
Bergen - Florida;SN50540;01.1992;4,7;391,6
Bergen - Florida;SN50540;02.1992;4,3;334,1
Bergen - Florida;SN50540;03.1992;4,1;321,4
Bergen - Florida;SN50540;04.1992;5,9;150,4
Bergen - Florida;SN50540;05.1992;12,2;173,9
Bergen - Florida;SN50540;06.1992;16,2;69,1
Bergen - Florida;SN50540;07.1992;14,3;205,9
Bergen - Florida;SN50540;08.1992;13,5;247,9
Bergen - Florida;SN50540;09.1992;12,4;265,1
Bergen - Florida;SN50540;10.1992;6,2;64,5
Bergen - Florida;SN50540;11.1992;4,7;363,3
Bergen - Florida;SN50540;12.1992;3,9;432,7
Bergen - Florida;SN50540;01.1993;3,1;359,8
Bergen - Florida;SN50540;02.1993;3,5;211,6
Bergen - Florida;SN50540;03.1993;3,8;206,1
Bergen - Florida;SN50540;04.1993;8;74,2
Bergen - Florida;SN50540;05.1993;12,1;51,7
Bergen - Florida;SN50540;06.1993;12,1;75,7
Bergen - Florida;SN50540;07.1993;12,6;153,4
Bergen - Florida;SN50540;08.1993;12,8;177,5
Bergen - Florida;SN50540;09.1993;11;63,4
Bergen - Florida;SN50540;10.1993;7,5;112,6
Bergen - Florida;SN50540;11.1993;3,1;61,6
Bergen - Florida;SN50540;12.1993;1,2;296,2
Bergen - Florida;SN50540;01.1994;1,5;286,1
Bergen - Florida;SN50540;02.1994;-0,8;16,3
Bergen - Florida;SN50540;03.1994;2,9;335,8
Bergen - Florida;SN50540;04.1994;6,5;252,7
Bergen - Florida;SN50540;05.1994;10;101,5
Bergen - Florida;SN50540;06.1994;10,6;304,8
Bergen - Florida;SN50540;07.1994;16,3;116,1
Bergen - Florida;SN50540;08.1994;15;126,8
Bergen - Florida;SN50540;09.1994;11,7;180
Bergen - Florida;SN50540;10.1994;7,3;206,9
Bergen - Florida;SN50540;11.1994;6,8;195,1
Bergen - Florida;SN50540;12.1994;4,3;427,2
Bergen - Florida;SN50540;01.1995;2,6;245,8
Bergen - Florida;SN50540;02.1995;2,6;323,6
Bergen - Florida;SN50540;03.1995;3,6;277,2
Bergen - Florida;SN50540;04.1995;5,2;171,6
Bergen - Florida;SN50540;05.1995;8,9;96
Bergen - Florida;SN50540;06.1995;13,6;81
Bergen - Florida;SN50540;07.1995;14,7;247,6
Bergen - Florida;SN50540;08.1995;15;100,4
Bergen - Florida;SN50540;09.1995;12,9;157,5
Bergen - Florida;SN50540;10.1995;10,4;543
Bergen - Florida;SN50540;11.1995;4,3;255,7
Bergen - Florida;SN50540;12.1995;-0,8;143,1
Bergen - Florida;SN50540;01.1996;1,1;29,7
Bergen - Florida;SN50540;02.1996;0,3;166,8
Bergen - Florida;SN50540;03.1996;2,7;51,1
Bergen - Florida;SN50540;04.1996;6,9;73,2
Bergen - Florida;SN50540;05.1996;8,4;63,8
Bergen - Florida;SN50540;06.1996;12,2;145,6
Bergen - Florida;SN50540;07.1996;12,7;164,4
Bergen - Florida;SN50540;08.1996;17,6;90,5
Bergen - Florida;SN50540;09.1996;12;74,7
Bergen - Florida;SN50540;10.1996;9,6;407,7
Bergen - Florida;SN50540;11.1996;1,6;226
Bergen - Florida;SN50540;12.1996;0,9;195,6
Bergen - Florida;SN50540;01.1997;2,4;156,4
Bergen - Florida;SN50540;02.1997;3,6;365,9
Bergen - Florida;SN50540;03.1997;4,1;281,2
Bergen - Florida;SN50540;04.1997;5,1;180
Bergen - Florida;SN50540;05.1997;9,7;85,4
Bergen - Florida;SN50540;06.1997;15,5;46,6
Bergen - Florida;SN50540;07.1997;17,3;84,4
Bergen - Florida;SN50540;08.1997;18,3;136,9
Bergen - Florida;SN50540;09.1997;11,8;340,3
Bergen - Florida;SN50540;10.1997;6,7;227,9
Bergen - Florida;SN50540;11.1997;5,3;77,9
Bergen - Florida;SN50540;12.1997;3,3;176,2
Bergen - Florida;SN50540;01.1998;3,5;233,8
Bergen - Florida;SN50540;02.1998;4,9;490,8
Bergen - Florida;SN50540;03.1998;3;209,4
Bergen - Florida;SN50540;04.1998;6,9;51,4
Bergen - Florida;SN50540;05.1998;10,5;51,2
Bergen - Florida;SN50540;06.1998;12,5;128,6
Bergen - Florida;SN50540;07.1998;13,6;198,6
Bergen - Florida;SN50540;08.1998;13,1;237,6
Bergen - Florida;SN50540;09.1998;13,7;62,2
Bergen - Florida;SN50540;10.1998;7;301
Bergen - Florida;SN50540;11.1998;3;190,1
Bergen - Florida;SN50540;12.1998;4;290
Bergen - Florida;SN50540;01.1999;2,8;295,8
Bergen - Florida;SN50540;02.1999;1,8;265,7
Bergen - Florida;SN50540;03.1999;4,6;266,9
Bergen - Florida;SN50540;04.1999;7,5;199,7
Bergen - Florida;SN50540;05.1999;9,9;136,4
Bergen - Florida;SN50540;06.1999;13,1;199,5
Bergen - Florida;SN50540;07.1999;14,6;211,5
Bergen - Florida;SN50540;08.1999;15,5;102,1
Bergen - Florida;SN50540;09.1999;15,6;233,5
Bergen - Florida;SN50540;10.1999;8,6;218,7
Bergen - Florida;SN50540;11.1999;6,9;333,5
Bergen - Florida;SN50540;12.1999;2;355,2
Bergen - Florida;SN50540;01.2000;3,5;378,4
Bergen - Florida;SN50540;02.2000;3,3;330,2
Bergen - Florida;SN50540;03.2000;3,2;240,5
Bergen - Florida;SN50540;04.2000;8;115,5
Bergen - Florida;SN50540;05.2000;11,7;131,1
Bergen - Florida;SN50540;06.2000;12,2;176,8
Bergen - Florida;SN50540;07.2000;14,7;40,9
Bergen - Florida;SN50540;08.2000;13,7;297,6
Bergen - Florida;SN50540;09.2000;12,9;143,8
Bergen - Florida;SN50540;10.2000;11;222,1
Bergen - Florida;SN50540;11.2000;7,7;154,6
Bergen - Florida;SN50540;12.2000;3,9;164,4
Bergen - Florida;SN50540;01.2001;2,5;79
Bergen - Florida;SN50540;02.2001;-0,3;132
Bergen - Florida;SN50540;03.2001;1,9;111,9
Bergen - Florida;SN50540;04.2001;5,7;123,7
Bergen - Florida;SN50540;05.2001;10,4;77,8
Bergen - Florida;SN50540;06.2001;12;166,3
Bergen - Florida;SN50540;07.2001;15,7;148,2
Bergen - Florida;SN50540;08.2001;14,9;235
Bergen - Florida;SN50540;09.2001;12,7;113,1
